Chemical composition,At Temperature (K),conductivity (S/cm),Seebeck coefficient (uV/K),Total thermal conductivity (W/mK),figure of merit ZT,Reference,Paper DOI
K0.99Ba0.01GaSb4,649,104.24,-250,0.558551519154557,0.757,Expt,https://doi.org/10.1021/acs.chemmater.7b01217
BiSbSe0.98Br0.023,600,150,-190,0.56,0.580178571428571,Expt,10.1002/adfm.201806558
BiSbSe2.88Cl0.12,300,77.35,-165,0.56,0.11281359375,Expt,10.1039/d0ra04065g
Ag8SiSe6,298,516.58,-158,0.563,0.682589543474245,Expt,https://doi.org/10.1021/acsami.0c15877
Ag8SiSe6,343,450.83,-162.58,0.565,0.723423676887525,Expt,https://doi.org/10.1021/acsami.0c15877
Ce0.2Bi1.8Te3,458,674,-152.58,0.566,1.242,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
In4Pb0.01Sn0.03Se2.9Cl0.06,623,103.35,-249.5,0.568,0.715,Expt,10.1039/c4dt03432e
In4Pb0.01Sn0.03Se2.9Cl0.02,673,137.6,-262.4,0.5683,1.12197583565863,Expt,10.1039/c4dt03432e
Ce0.2Bi1.8Te3,473,630.9,-155.03,0.5693,1.25983009434114,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
Bi1.2Sb0.8Se2.76Cl0.24,700,159,-188,0.57,0.690138105263158,Expt,10.1039/d0ra04065g
BiSbSe0.94Br0.063,400,225,-141,0.57,0.313910526315789,Expt,10.1002/adfm.201806558
BiSbSe0.92Br0.083,400,238.83,-138,0.57,0.31917744,Expt,10.1002/adfm.201806558
AgBiSe2.0,528,36.78,-213.7,0.574,0.154505092851847,Expt,10.1021/ja312474n
In4Se2.67Cl0.03,698,263,-218.7,0.575,1.533,Expt,10.1002/adma.201004739
Ag2Te,500,510.66,-117.74,0.5763,0.614187945776158,Expt,10.1039/c1jm13888j
Ce0.2Bi1.8Te3,373,840.83,-141.2,0.577,1.08370383584915,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
BiSbSe0.98Br0.023,500,167.02,-173,0.58,0.42,Expt,10.1002/adfm.201806558
BiSbSe2.82Cl0.18,400,148,-152,0.58,0.235820137931034,Expt,10.1039/d0ra04065g
Y0.2Bi1.8Te3,423,720.86,-147.4,0.58,1.14224237695738,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
BiSbSe2.76Cl0.24,300,132.6,-132,0.58,0.119504606896552,Expt,10.1039/d0ra04065g
In4Pb0.01Sn0.03Se2.9Cl0.04,623,141.83,-259.4,0.5814,1.02263597274723,Expt,10.1039/c4dt03432e
Rb2Bi8Se12.9415,625,64.39,-217.7,0.5868,0.325031307845518,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2Bi8Se12.961,428,84.8,-218.5,0.587,0.295191877069847,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2Bi8Se12.9909Cl0.0091,428,86.03,-178.62,0.59,0.199114024456898,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
AgBiSe2.0,418,209.28,-145,0.59,0.311736748474576,Expt,10.1039/c7dt04821a
BiSbSe0.96Br0.043,400,190,-141,0.59,0.28,Expt,10.1002/adfm.201806558
In4Pb0.01Sn0.03Se2.9Cl0.02,623,148,-260,0.592,1.05287,Expt,10.1039/c4dt03432e
Rb2Bi8Se12.9415,526,59.5,-220,0.594,0.255012592592593,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Y0.2Bi1.8Te3,398,781,-143.3,0.596,1.07097720433222,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
In4Se2.67Cl0.03,648,291.37,-208.24,0.6,1.3645733951209,Expt,10.1002/adma.201004739
